name,Team Ranking,Kills,Assists,Mobility (Driving),Mobility (Walking),DPS,Survival Time
Silent_M,6,4,0,0.892005905,1.870218095,0.211302353,1765.243
taot,71,0,0,0,0.592908709,0,275.098
Ricebucketz,84,1,1,0,0.555225001,1.480619745,113.466
louselove2008,47,0,0,0,0.67857404,0,597.582
rtang86,4,4,0,5.510230319,0.696030808,0.34358944,1757.912
PeeTree,10,0,0,4.006089021,1.114634848,0,1530.788
Cadillac_1120,81,0,0,0,0.743757244,0,127.865
caododo,45,1,0,1.613288705,0.664999405,0.177586143,563.107
MaroonRoof,8,0,0,0,1.594998772,0.02456417,1628.388
ShuAndInori,90,0,0,0,1.01599036,0.337946,112.444
Scheeren0525,34,0,0,2.120143604,2.090409654,0,1079.569
BingJade,21,1,0,0,1.678292141,0.062135884,1207.032
Burney570,28,1,0,0,1.923121465,0.088258994,1133.029
BBJ-002,18,2,0,2.383785789,2.187032978,0.140108062,1456.019
TheAsianArcher,7,3,0,4.274820547,0.959813278,0.199474819,1619.252
laoluanzi,60,0,0,0,1.806552849,0.073406121,258.834
102098,43,2,0,0,1.476524941,0.359606979,447.711
MahangMDH,55,0,0,7.101666349,1.038322078,0.130934455,336.046
MrrCrab,94,0,0,0,0.310652161,0,75.66
Mechanical-Ship,83,0,0,0,0.336113296,0,138.84
BIVERMAN,64,0,0,0,0.690643943,0,145.412
Dontworryboutit,71,0,0,0,0.214222153,0.356223628,199.313
hugedabs,34,1,0,1.115122994,2.358376753,0.109332585,905.494
listener23,62,1,0,0,1.293119146,0.409117211,442.416
PAYTONLB999,48,1,0,0,0.89798233,0.20636307,479.737
PanadTv_MrChen,64,0,0,0,0.453603981,0,311.783
ChinaCuiKanG,36,3,0,3.006424651,1.11702594,0.418460518,795.774
Thezander,17,1,0,0,1.592137328,0.09123032,1512.655
376953309,85,0,0,0,0.644949865,0,135.437
Satren4,28,0,0,2.96365153,1.697335289,0.003412985,878.996
ZI_ChenR,9,2,0,1.202263416,2.090766281,0.164761038,1547.696
panda_Gege,56,0,0,0,0.760849566,0.078151072,473.442
LoveZWJ001,42,1,0,2.576755614,1.919971038,0.11612985,852.494
xiaozui1022,24,1,0,0,2.914227792,0.098465824,1269.476
1nmb1,77,0,0,0.190871497,0.20941472,0,890.387
lag-iwnl-,2,3,0,1.969081526,1.110745964,0.154748843,2003.246
DonovanMcDabb,20,1,0,5.188941467,0.886849097,0.107667544,928.785
HydraCPLA,21,0,1,3.3337884,2.103319304,0.021597826,1064.922
doobin42,59,0,0,0,0.453132975,0.54768767,257.446
Deadeye289,94,1,0,0,0.026212719,1.222680727,98.145
Vixnoir2017,83,0,0,0,0.044770464,0.305709528,124.301
OuterThrill,18,5,0,3.383016744,1.538513073,0.480004189,1031.241
Akai_Shuichi,2,4,0,1.945668442,2.005894133,0.176054092,1959.625
Sourmilk-,58,0,0,0,1.629051037,0,641.732
Emperor_Domitian,79,0,0,0,0.286511833,0,217.972
wwws11,86,0,0,0,0.277544557,0,112.983
Mathchless,16,4,0,0.692451737,0.859396851,0.372699316,1089.35
YouForgotMe,30,1,0,0.71517892,2.748099385,0.192198331,884.503
MagicUZI1,55,0,0,0,0.974863229,0,396.467
TRIVbeast09,8,1,0,2.627932995,0.946997534,0.046641849,1607.998
HUIWQHUIQWIO,51,0,0,0,0.74318014,0,490.374
adfgfshsfb646261,92,0,0,0,0,0,133.671
SBThreeThousand,32,2,0,8.650044151,1.05341883,0.227581668,812.895
you_new_father,88,0,0,0.031776644,0.449935358,0.871064165,109.062
TODR3K,85,0,0,0,0.097616063,0,126.58
co_huan8,79,1,0,0,0.639925944,0.922245483,108.431
wewewewedfwewew,14,2,0,3.002817526,1.566537865,0.150687739,1493.154
jiangsu_Lee,29,0,0,2.985286073,2.223552173,0.026893792,1227.049
thefreem,76,1,0,0,0.61261806,0.885227411,140.077
K-three-n,8,4,0,0.327768591,1.693918186,0.322117519,1698.138
Cilines,79,1,0,0,0.641224451,0.657211583,152.158
wuyanzhu999,73,0,0,0,2.140913483,0.245553883,219.911
KenLcc,32,2,0,0.998596169,1.300679751,0.174083687,1200.572
Weed_Everyday,11,0,0,2.338528721,1.531090489,0.040911482,1564.353
Conch-y,2,6,0,1.282458023,1.496824138,0.318069837,1902.098
BIUSAOSHEN,26,3,1,1.92854376,1.06980828,0.362113753,1049.394
oBeargryllso,64,0,0,0,1.188820006,0,385.263
KaiWen456,51,0,0,2.157162842,0.982922884,0.024888314,401.795
Stealthstone,21,3,0,3.73065026,1.11281593,0.253667957,1344.277
itsen,10,2,0,2.440942312,1.850701729,0.198652843,1031.951
WuHuZZH,70,0,0,0,0.023885103,0,889.162
nigthfalt,53,3,0,0,0.659203466,0.959459385,361.662
Mr-Zhou22,13,1,0,0.39188554,2.837692606,0.1516054,1484.116
Chiteijin,72,0,0,0,0.065052432,0,134.078
lxpplay,14,0,0,0.710227259,0.536902892,0.029742826,1277.619
MiNi14-STY,86,0,0,0,0.471653147,0.317540963,110.222
hunchumo,28,2,0,1.282311903,1.567172894,0.191160396,1150.866
WeGay_Macbeth,43,1,0,1.351927918,1.354377223,0.254200526,723.838
NeonBattle,16,2,0,4.972887168,0.801265523,0.166149327,1420.409
Jingxiaocheng,2,3,1,0.984113994,0.78318275,0.222513082,1869.553
gulangjujishou1,30,0,0,0.372700653,2.948349922,0.055615909,1078.828
DoctorDhy,14,0,0,1.832344517,3.267284522,0.01370208,1532.614
LuTaNy,34,0,0,0,2.482857263,0,748.769
cs19981,81,0,0,0,0.286675856,0.269084997,174.666
XIONGMAO2237,73,0,0,0,0.74398004,0,175.35
cyl11,74,0,0,0,0.067603816,0.956032177,103.553
PeaceU,77,0,0,0,0.166849046,0,81.899
TR-PoyLark,39,0,0,0.71357337,1.387941363,0,847.483
Kel-Morian,5,1,0,0.572115446,0.633677377,0.073065645,1738.163
Zjj_cc,60,0,0,0,1.584556809,0,530.279
GarrettDaMan,21,2,0,0.993556321,2.025486667,0.207368089,1195.941
Nolanxx,89,0,0,0,0.419092516,0.310108427,90.291
longcung,13,1,0,0,1.052460485,0.062442383,1489.373
leesunwoo521,16,0,0,3.024606813,0.72827516,0,1307.646
GoldMagic86,18,0,0,0.43097474,1.750696019,0.001442212,1386.759
Cedrichu7,5,6,0,0.112861695,1.979796057,0.346141341,1713.173
Shark-007,36,3,0,0,1.522959033,0.250487024,806.429
UnbanHankHill,78,0,0,0,0.985034491,0.120090421,283.12
footman_12,53,0,0,0,0.346262536,0.10343178,232.037
AndrewBuffalo,4,0,1,2.063236963,1.003239222,0.01529814,1699.553
IMCHENLONG--,29,1,0,2.744931861,1.283681504,0.165332916,1022.18
Vanchenz0,76,1,0,0,0.305673912,1.17298109,133.847
lishizhende-pi,31,0,0,0,1.335107251,0.033681977,950.063
Timber870,64,1,0,0,0.851748671,0.369228015,268.127
dade1bbbbbbbb,80,0,0,0,0.459394904,0.224534738,115.795
Boss18mN,83,0,0,0,0.460716379,0,115.522
jaglzw,23,0,0,0,1.362800791,0.077822915,899.478
ConDick69,61,0,0,0,0.765242669,0.315289096,288.624
Flexin4Lunch,9,0,0,2.311103685,1.065137708,0.018345823,1526.233
str8ballistik,5,0,0,0,2.150409107,0,1748.93
ZYFFF001,68,0,0,0,0.61701684,0,197.984
woshitushui,63,0,0,0,0.461576218,0.162447128,326.26
HHHHHGG3,10,2,0,3.243835515,2.014321123,0.075111897,1557.676
MasiW9999,6,1,0,2.948959636,1.029406846,0.092861638,1593.769
HuaYangZuoSiA,38,0,0,2.822826107,1.284938913,0.082581254,847.65
JerryFKedTom,17,0,0,3.435260019,1.302461575,0,1290.385
DADDY-MING_98,5,0,0,0.80519038,0.80715778,0.044860773,1761.004
TheChase,64,0,0,0.662827354,2.336879879,0,284.38
Random_raver,54,1,0,0,1.62765504,0.208549695,474.707
mustafayngls,85,0,0,0,0.300870905,0,85.348
Kabaje,92,0,0,0,0.079243396,0.39770568,113.149
woshisheng4339,52,0,0,0,0.506016381,0,212.931
Forgot2Wipe,12,2,0,4.985127872,0.478313946,0.154050782,1525.471
panzheng666,58,2,0,0,1.170575742,0.20435374,298.502
Aleksei50,37,1,0,0.494574911,0.391102403,0.126023048,983.947
soju3oy,12,2,0,0,2.624416302,0.143364478,1464.798
VVictor_Wang,38,0,0,2.465301703,1.298024417,0,836.867
kaixiandiyiji,51,1,0,0,1.392333641,0.479439425,406.725
OKORZ,28,0,0,3.782555005,1.262688895,0,1237.352
afewfqfqw,62,0,0,0,0.964316935,0,235.61
tanglaotaigong01,44,0,0,0,1.439038301,0.162152861,604.368
air-force1234,37,0,0,4.973489833,0.699982856,0.100593962,1093.505
luoyunshuo,26,1,0,0,1.468980047,0.114489262,1161.681
XGlaichiji,61,0,0,2.869144592,0.661830555,0.083282737,744.452
tianxin123456,22,0,0,3.682624862,1.672865775,0,1318.816
renmengwei,62,0,0,0,0.207244119,0,1145.69
GGx_98k,88,0,0,0,0.444175503,0,105.943
wzy55556,89,0,0,0,0.357678464,0.610632184,111.36
Deep-Attract1ve,3,6,0,0.836378282,1.997297715,0.397803078,1754.637
Chari101017,61,0,0,0,1.025464822,0,232.756
Ventidarkroast,96,0,0,0,0.354138237,0,86.133
OG_PepsiMan,48,0,0,4.10809001,0.832791136,0.229072257,401.62
Dao-Xiao-Mian,38,0,0,0,2.067461482,0.029165573,754.314
BT-Caxias,98,0,0,0,0,0,173.917
Zambong,69,0,0,0,0.248656942,0.22822957,205.933
Quesifan,93,0,0,0,0.312954189,0,93.439
KYEW0_0,31,3,0,3.035103577,1.013655845,0.295389042,1073.161
diaDesperado,14,4,0,0.438542641,2.078234722,0.260818944,1437.779
afterkaze,66,0,0,5.38094092,0.663800879,0,345.428
404781,67,0,0,0,0.091246963,0,1155.576
Thevalleyofthe,57,0,0,0,0.370734487,0,138.886
Xiu01,25,1,0,5.678586831,1.212039163,0.112867578,1187.232
guancezhe,54,0,0,0,1.229195762,0,562.955
PercyDoesGaming,44,0,0,3.43744607,0.955872671,0.355541064,576.586
Shrekrilege,83,0,0,0,0.538741724,0,163.271
F1111111,35,0,1,0,2.776910894,0.101062601,900.432
FrozToe,49,0,0,0,1.290051433,0.050932621,451.577
dissZid,5,4,0,1.377116624,2.938426174,0.290434033,1656.142
JDQS-God,80,2,0,0,1.4659664,1.311082131,143.393
HTX832,78,0,0,0,0.563446831,0,157.066
cobymj,39,0,0,2.570715587,1.223839878,0.093524918,823.31
DuckTar,48,3,0,0,0.898078006,0.529299927,472.322
Huskie96,36,0,0,2.049977883,2.191378876,0.024862338,925.094
QAQ000001,41,0,0,8.845180722,1.075396687,0.108421417,922.327
jieaini19981216,16,1,0,0,2.689157191,0.162331564,1490.776
Luigibros123,13,0,0,0,2.707644287,0,1338.423
Sky-1999,49,0,0,0,0.576903917,0,825.112
whyfuck2999,21,7,2,4.459616085,1.103192315,0.78198884,1282.627
ScuffJump,11,0,0,3.501009898,1.408394316,0,1555.107
NJMAX,51,0,0,0,0.851389827,0.223733667,312.872
VGSAVAGE,64,2,0,0,1.03555037,0.671326595,296.428
daichenyu,48,0,0,2.963555277,1.473611631,0,661.49
TY-Feng,40,0,0,2.156026703,1.673203082,0,768.616
Barry-Li,50,1,0,1.063956377,2.150967652,0.201808609,495.519
Pyroman88,59,0,0,0,1.747253104,0.129285744,317.127
Taehwi1-_,21,0,0,0.267351093,2.398171725,0,1448.354
BongRips4Allah,1,3,0,0.360892468,2.241993024,0.184028585,1852.973
Tiaren,10,0,0,3.751411538,0.867169666,0.014257642,1613.17
Darkgeo18,20,0,0,3.611372356,1.238311882,0,1268.075
Loli-Fox,85,0,0,0,0.980955622,0,112.015
gggyl_001,3,3,0,0.320823806,1.674821635,0.191267107,1871.728
MirAclEzzzz,12,0,0,2.517476225,1.056786226,0.03706923,1564.64
BOILQUAIL,41,0,1,1.346310413,1.674778658,0.005251446,761.695
jy156888,80,0,1,0,0.80919937,0.511814382,164.122
Bornforkilling,42,1,0,0.996269475,1.530024917,0.24643594,620.851
LMTDLSD,34,1,0,0,1.290189052,0.152589031,642.248
yes1x1,50,0,0,1.551276305,1.07626008,0,505.084
wdh112,39,0,0,0.803361479,1.276907116,0.12184176,738.663
KaRNoV82,38,2,0,0.252243967,2.35914324,0.254329644,786.381
Therealmmccoy,52,0,0,5.612871138,0.747592001,0,577.043
UPS_Auburn,88,1,0,0,0.303620296,0.771946259,115.293
Luhuaqing,41,0,0,3.296531829,0.971029338,0.074371264,752.979
TheRealBrendon,74,1,0,0,0.387917714,1.134403297,148.977
acq450,4,0,0,0,1.466774641,0,1726.276
dusk_raidz,55,0,0,2.25133808,2.9841177,0.092128033,401.615
YMT_05,20,0,0,0.000635065,2.553240297,0.025713129,1400.063
ShelbySuperSnake,74,1,0,0,0.303489049,0.854388733,145.133
4kmordor,76,0,0,0,0,0,144.436
BIG7Tong,45,0,0,0,2.21089561,0.068854969,363.082
Vasily-Zaicksevf,82,0,0,0,0,0,132.21
XiaoShuai778,43,0,0,0,1.571076902,0.090303955,730.865
Sprayer90,84,0,0,0,0.28251717,0,118.375
JiLiaoDeYuXiang,89,0,0,0,0,0,133.472
spocksyourdaddy,10,1,0,2.533495118,1.060402633,0.071027254,1647.255
JH-Han,63,1,0,0,0.766660374,0.391878706,255.181
xiejuntao,80,0,0,0,0.924733642,0,166.633
GRazzleDazzle,42,0,0,2.270001841,1.748243622,0.155432113,418.189
APL2012,37,3,0,0,1.385444154,0.259274744,925.659
Blackout0911,31,1,0,3.258934502,1.786159227,0.203905201,961.231
Iceman666666,38,0,0,5.315769226,0.690347438,0.00208509,959.191
sadasfd,21,1,0,0.480308485,3.045293531,0.167185928,1082.627
cadhantrain,82,0,0,0,0.239910484,0,125.769
GhosT-SaoHao,74,0,0,0,0.795798482,0,184.758
Lumberjackel,12,0,0,4.536467046,2.363956057,0,1507.693
jyosh,95,0,0,0,0,0,142.011
Mr-0left,21,0,0,1.500339938,1.537496133,0.060375806,1341.597
WmhisGod,78,0,0,0,1.020191042,0.260630465,153.474
Laoganmafood,62,0,0,3.778353725,1.506099081,0,235.101
wangjiarv,1,2,1,0,1.660273339,0.161600612,1881.181
TheHoeBeater,75,0,0,0,0.183299973,0.678790175,126.696
FFFuckh1z1,94,0,0,0,0.051080968,0.606783197,93.938
mattd0estuff,52,0,0,1.372795747,2.049190366,0,642.043
GuoM,1,9,0,2.765428704,1.342703507,0.494241604,1869.531
woshihuanren,12,8,0,1.314630774,2.106492107,0.503715139,1562.391
so_sorry_666,58,1,1,0,0.91951425,0.376021506,428.167
Brains,74,0,0,0,1.034930823,0,223.037
anglesYY,37,1,0,0.433244344,2.53886917,0.187402912,885.792
secd993,15,0,0,0,2.167982582,0,1402.679
DMR1135,95,0,0,0,0.445046922,0,102.191
Gigantorr,51,0,0,0,1.871764047,0.036268392,634.161
KageTheMage,25,2,0,0,2.985193012,0.154118959,1154.952
gkffd,55,0,0,0,1.627623076,0.141685055,381.127
Quxiaonan,62,1,0,0,0.56190128,0.440516991,227.006
Erlca,18,1,0,2.890844801,1.61785744,0.091841682,1404.591
CJCasper,89,0,0,0,0.053498109,0,114.774
wikywiky,6,0,0,2.29229894,1.853546143,0,1623.544
AI--11,72,0,0,0,1.602858489,0,221.637
JayKidman,1,6,1,1.490264355,1.116341817,0.299669701,1811.995
DoDoDollars,21,0,0,2.014197542,2.003856525,0.017057411,1289.762
KILLBEROS_Scar,75,1,0,0,0.443590481,0.706291035,138.753
SirMrMcmuffin,31,2,1,0,1.996981459,0.343946823,1043.766
joker-role,77,0,0,0,1.808219964,0,169.973
DisBeSkipZ,16,3,0,0.405905874,1.867197164,0.070491845,1489.534
PhysiksMia,80,0,0,0,0.355212424,0,607.214
Odanskii,66,0,0,0,0.300875222,0,215.831
Dongxuan888,6,1,0,0,2.453677843,0.056193587,1850.745
shawanyia09,93,0,0,0,0.179316319,0,76.378
Whit3-Ros3,84,0,0,0,0.402347306,0,124.006
YLLYA,22,2,0,3.380240229,1.287753422,0.187725308,1337.06
woai5488464,48,2,0,0,0.870340087,0.465711469,476.69